61235,barselsvikariat naturgeografi,2016-11-21,geografi,vikariat,Østergade 52,3200,Helsinge,Region Hovedstaden	
61236,gentofte hf søger én til to vikarer i idræt og historie,2016-11-22,historie-idræt,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden	
61238,vikar i ikt,2016-11-22,,vikariat,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden	
61239,vikariat(er) i engelsk og idræt på hjørring gymnasium og hf-kursus,2016-11-26,engelsk-idræt,vikariat,Skolevangen 25,9800,Hjørring,Region Nordjylland	
61241,vikariat i fagene engelsk og psykologi,2016-11-23,engelsk-psykologi,vikariat,Puggårdsgade 22,6760,Ribe,Region Syddanmark	
61243,vikar i matematik og kemi,2016-12-06,kemi-matematik,vikariat,Brorsonsvej 2,7400,Herning,Region Midtjylland	
61244,ymnasium - vikariat i religion,2016-11-28,religion,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden	
61246,vikariater i kemi matematik og fysik på kvuc,2016-11-28,fysik-kemi-matematik,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden	
61247,3 måneders sygevikariat i psykologi,2016-11-28,psykologi,vikariat,Højvangens Torv 6,8660,Skanderborg,Region Midtjylland	
61248,3 hold i kemi c på rosborg gymnasium & hf,2016-11-29,kemi,fast stilling,Vestre Engvej 61,7100,Vejle,Region Syddanmark	
61250,vikariat i engelsk på hf,          ,engelsk,vikariat,         ,    ,       ,         	
61252,vikarer i idræt,2016-12-08,idræt,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
61254,vikar i biologi,2016-12-01,biologi,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
61255,timerester i matematik og fysik,2016-12-02,fysik-matematik,fast stilling,Gl. Skivevej 2,8800,Viborg,Region Midtjylland	
61256,vikariat i engelsk,2016-12-04,engelsk,vikariat,Bøgildvej 6,7430,Ikast,Region Midtjylland	
61257,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i engelsk og et andet gymnasierelevant fag,2016-12-05,engelsk,vikariat,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland	
61259,vikariat i matematik med mulighed for forlængelse,2016-12-05,matematik,vikariat,Blytækkerporten 2,2650,Hvidovre,Region Hovedstaden	
61265,greve gymnasium søger årsvikar pr. 1. januar 2017,2016-12-06,,vikariat,Rådhusholmen 12,2670,Greve,Region Sjælland	
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,dansk-engelsk,vikariat,Hasserisvej 300,9000,Aalborg,Region Nordjylland	
61269,underviser i matematik,2016-12-07,matematik,fast stilling,Jyllandsgade 52,9600,Aars,Region Nordjylland	
61273,vikar i samfundsfag,2016-12-09,samfundsfag,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
61275,barselsvikar i idræt,2016-12-12,idræt,vikariat,Gymnasievej 4,4600,Køge,Region Sjælland	
61276,timelærer i fysik,2016-12-12,fysik,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland	
61279,vikar til 2g fransk,2016-12-12,fransk,vikariat,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden	
61280,vikar i fysik,2016-12-12,fysik,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland	
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,engelsk-tysk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden	
