61356,vikariat i engelsk på kvuc,2017-03-16,engelsk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61361,slagelse gymnasium - søger vikar i dansk og oldtidskundskab,2017-03-17,dansk,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61361,slagelse gymnasium - søger vikar i dansk og oldtidskundskab,2017-03-17,oldtidskundskab,vikariat,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61364,gymnasielærer søges til undervisning i mediefag,2017-03-20,mediefag,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61365,gymnasielærer søges til undervisning i matematik,2017-03-21,matematik,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61366,fast stilling i samfundsfag,2017-03-23,samfundsfag,fast stilling,Prinsessegade 35,1422,København K,Region Hovedstaden;
61376,fysiklærer på tørring gymnasium,2017-03-25,fysik,fast stilling,Kirkevej 20,7160,Tørring,Region Midtjylland;
61381,underviser til matematik på hf,2017-03-29,matematik,fast stilling,Nålemagervej 110,8920,Randers NV,Region Midtjylland;
61391,sankt annæ gymnasium - en skole med musik i,2017-03-31,musik,fast stilling,Sjælør Boulevard 135,2500,Valby,Region Hovedstaden;
61409,dansk- og historielærer til lycée français prins henrik,2017-04-04,dansk,fast stilling,Frederiksberg allé 22 A,1820,Frederiksberg C,Region Hovedstaden;
61409,dansk- og historielærer til lycée français prins henrik,2017-04-04,historie,fast stilling,Frederiksberg allé 22 A,1820,Frederiksberg C,Region Hovedstaden;
61418,ledige stillinger i matematik og fysik ved stenhus gymnasium & hf,2017-04-06,fysik,fast stilling,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61418,ledige stillinger i matematik og fysik ved stenhus gymnasium & hf,2017-04-06,matematik,fast stilling,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61425,matematiklærer søges til oure kostgymnasium,2017-04-06,matematik,fast stilling,Idrætsvej 1,5883,Oure,Region Syddanmark;
61439,gentofte hf søger engelskvikar,2017-04-11,engelsk,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61444,ledig stilling i engelsk i kombination med et andet fag,2017-04-18,engelsk,fast stilling,Læssøegade 154,5230,Odense M,Region Syddanmark;
61445,støvring gymnasium søger lærer i naturgeografi,2017-04-18,geografi,fast stilling,Mastrupvej 77,9530,Støvring,Region Nordjylland;
61446,esbjerg gymnasium søger nye kolleger til: matematik fysik kemi naturgeografi dansk engelsk tysk spansk dramatik og billedkunst/design,2017-04-20,billedkunst,fast stilling,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
61446,esbjerg gymnasium søger nye kolleger til: matematik fysik kemi naturgeografi dansk engelsk tysk spansk dramatik og billedkunst/design,2017-04-20,dansk,fast stilling,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
61446,esbjerg gymnasium søger nye kolleger til: matematik fysik kemi naturgeografi dansk engelsk tysk spansk dramatik og billedkunst/design,2017-04-20,design,fast stilling,Spangsbjerg Møllevej 310,6700,Esbjerg,Region Syddanmark;
