61247,3 måneders sygevikariat i psykologi,2016-11-28,psykologi,,Højvangens Torv 6,8660,Skanderborg,Region Midtjylland;
61248,3 hold i kemi c på rosborg gymnasium & hf,2016-11-29,kemi,,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61250,vikariat i engelsk på hf,,engelsk,,,,,;
61252,vikarer i idræt,2016-12-08,idræt,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61254,vikar i biologi,2016-12-01,biologi,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61255,timerester i matematik og fysik,2016-12-02,fysik-matematik,,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61256,vikariat i engelsk,2016-12-04,engelsk,,Bøgildvej 6,7430,Ikast,Region Midtjylland;
61257,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i engelsk og et andet gymnasierelevant fag,2016-12-05,engelsk,,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland;
61259,vikariat i matematik med mulighed for forlængelse,2016-12-05,matematik,,Blytækkerporten 2,2650,Hvidovre,Region Hovedstaden;
61265,greve gymnasium søger årsvikar pr. 1. januar 2017,2016-12-06,,,Rådhusholmen 12,2670,Greve,Region Sjælland;
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,dansk-engelsk,,Hasserisvej 300,9000,Aalborg,Region Nordjylland;
61269,underviser i matematik,2016-12-07,matematik,,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61273,vikar i samfundsfag,2016-12-09,samfundsfag,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61275,barselsvikar i idræt,2016-12-12,idræt,,Gymnasievej 4,4600,Køge,Region Sjælland;
61276,timelærer i fysik,2016-12-12,fysik,,Gymnasievej 4,4600,Køge,Region Sjælland;
61279,vikar til 2g fransk,2016-12-12,fransk,,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden;
61280,vikar i fysik,2016-12-12,fysik,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,engelsk-tysk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61285,slagelse gymnasium søger vicerektor,2016-12-14,,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61286,amfundsfag c,2016-12-15,,,Vestervej 3,8500,Grenaa,Region Midtjylland;
61289,studie- og uddannelsesvejleder,2016-12-20,,,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark;
61290,dansk niveau c foråret,,dansk,,,,,;
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,,afsætning-virksomhedsøkonomi,,,,,;
61293,campus bornholm søger underviser til erhversret c,,,,,,,;
61297,årsvikar,2017-01-02,,,Læderstræde 4,4000,Roskilde,Region Sjælland;
61299,hf & vuc københavn syd søger årsvikar i matematik,2017-01-05,matematik,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61301,hf lærer pr. 1. februar 2017 eller snarest muligt,2017-01-05,,,Stormgade 47,6700,Esbjerg,Region Syddanmark;
61304,vikar i dansk,2017-01-09,dansk,,Nørre Voldgade 5,1358,København K,Region Hovedstaden;
61306,afdelingsleder,2017-01-11,,,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark;
61307,hf & vuc københavn syd søger musik lærer,2017-01-12,musik,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61308,vikar i engelsk og historie,2017-01-12,engelsk-historie,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
