61246,vikariater i kemi, matematik og fysik på kvuc,2016,fysik-kemi-matematik,,Vognmagergade 8,1120,København K
61246,vikariater i kemi, matematik og fysik på kvuc,11,fysik-kemi-matematik,,Vognmagergade 8,1120,København K
61246,vikariater i kemi, matematik og fysik på kvuc,28,fysik-kemi-matematik,,Vognmagergade 8,1120,København K
61247,3 måneders sygevikariat i psykologi,2016-11-28,psykologi,,Højvangens Torv 6,8660,Skanderborg,Region Midtjylland;
61248,3 hold i kemi c på rosborg gymnasium & hf,2016-11-29,kemi,,Vestre Engvej 61,7100,Vejle,Region Syddanmark;
61250,vikariat i engelsk på hf,          ,engelsk,,         ,    ,       ,         ;
61252,vikarer i idræt,2016-12-08,idræt,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61254,vikar i biologi,2016-12-01,biologi,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61255,timerester i matematik og fysik,2016-12-02,fysik,,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61255,timerester i matematik og fysik,2016-12-02,matematik,,Gl. Skivevej 2,8800,Viborg,Region Midtjylland;
61256,vikariat i engelsk,2016-12-04,engelsk,,Bøgildvej 6,7430,Ikast,Region Midtjylland;
61257,herning gymnasium søger en dygtig og engageret underviser til et barselsvikariat i engelsk og et andet gymnasierelevant fag,2016-12-05,engelsk,,H. P. Hansens Vej 8,7400,Herning,Region Midtjylland;
61259,vikariat i matematik med mulighed for forlængelse,2016-12-05,matematik,,Blytækkerporten 2,2650,Hvidovre,Region Hovedstaden;
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,dansk,,Hasserisvej 300,9000,Aalborg,Region Nordjylland;
61267,vikar i engelsk og dansk på hasseris gymnasium,2016-12-06,engelsk,,Hasserisvej 300,9000,Aalborg,Region Nordjylland;
61269,underviser i matematik,2016-12-07,matematik,,Jyllandsgade 52,9600,Aars,Region Nordjylland;
61273,vikar i samfundsfag,2016-12-09,samfundsfag,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61275,barselsvikar i idræt,2016-12-12,idræt,,Gymnasievej 4,4600,Køge,Region Sjælland;
61276,timelærer i fysik,2016-12-12,fysik,,Gymnasievej 4,4600,Køge,Region Sjælland;
61279,vikar til 2g fransk,2016-12-12,fransk,,Mørkhøjvej 78,2700,Brønshøj,Region Hovedstaden;
61280,vikar i fysik,2016-12-12,fysik,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,engelsk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61284,vikariater i engelsk og tysk på kvuc,2016-12-14,tysk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61290,dansk niveau c foråret,          ,dansk,,         ,    ,       ,         ;
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,          ,afsætning,,         ,    ,       ,         ;
61292,campus bornholm søger underviser til virksomhedsøkonomi og afsætning på hhx,          ,virksomhedsøkonomi,,         ,    ,       ,         ;
61299,hf & vuc københavn syd søger årsvikar i matematik,2017-01-05,matematik,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61304,vikar i dansk,2017-01-09,dansk,,Nørre Voldgade 5,1358,København K,Region Hovedstaden;
61307,hf & vuc københavn syd søger musik lærer,2017-01-12,musik,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61308,vikar i engelsk og historie,2017-01-12,engelsk,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61308,vikar i engelsk og historie,2017-01-12,historie,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61310,vikar i engelsk,2017-01-13,engelsk,,Birketinget 9,8000,Aarhus C,Region Midtjylland;
61312,dansk,2017-01-19,dansk,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61317,vikarer til biologi og geografi søges til vores hf-hold,2017-01-23,biologi,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61317,vikarer til biologi og geografi søges til vores hf-hold,2017-01-23,geografi,,Slotshaven 5,4300,Holbæk,Region Sjælland;
61318,vikariat i spansk,2017-01-24,spansk,,Amerikavej 5,9500,Hobro,Region Nordjylland;
61320,geografi,2017-01-25,geografi,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61325,barselsvikariat i kemi,2017-01-31,kemi,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61326,vikariat i matematik,2017-02-01,matematik,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61339,vikar i matematik,2017-02-20,matematik,,Amerikavej 5,9500,Hobro,Region Nordjylland;
61340,et antal stillinger i biologi, kemi, matematik og tysk på frederiksborg gymnasium og hf,2017-02-21,biologi-kemi-matematik-tysk,,Carlsbergvej 15,3400
61346,sygevikariat i biologi,2017-03-03,biologi,,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
61349,ledige stillinger i samfundsfag, mediefag og billedkunst,2017,billedkunst-mediefag-samfundsfag,,Slotshaven 5,4300,Holbæk
61349,ledige stillinger i samfundsfag, mediefag og billedkunst,03,billedkunst-mediefag-samfundsfag,,Slotshaven 5,4300,Holbæk
61349,ledige stillinger i samfundsfag, mediefag og billedkunst,08,billedkunst-mediefag-samfundsfag,,Slotshaven 5,4300,Holbæk
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,fysik,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,kemi,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61350,ledig stilling i fysik eller kemi i kombination med matematik,2017-03-06,matematik,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61356,vikariat i engelsk på kvuc,2017-03-16,engelsk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61361,slagelse gymnasium - søger vikar i dansk og oldtidskundskab,2017-03-17,dansk,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61361,slagelse gymnasium - søger vikar i dansk og oldtidskundskab,2017-03-17,oldtidskundskab,,Willemoesvej 2A,4200,Slagelse,Region Sjælland;
61364,gymnasielærer søges til undervisning i mediefag,2017-03-20,mediefag,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61365,gymnasielærer søges til undervisning i matematik,2017-03-21,matematik,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
